PDGF_AB	FamilyOrComplex
PDGF_BB	FamilyOrComplex
PDGF_CC	FamilyOrComplex
PDGF_DD	FamilyOrComplex
PDGFR	FamilyOrComplex
PDGFR_AA	FamilyOrComplex
PDGFR_AB	FamilyOrComplex
PDGFR_BB	FamilyOrComplex
PDH	FamilyOrComplex
PDK	FamilyOrComplex
Pertussis_toxin	FamilyOrComplex
PFN	FamilyOrComplex
PhK	FamilyOrComplex
Phosphatase	FamilyOrComplex
PI3K	FamilyOrComplex
PI3K_p110	FamilyOrComplex
PI3K_p85	FamilyOrComplex
PI4K	FamilyOrComplex
PIK3R_I	FamilyOrComplex
PIM	FamilyOrComplex
PKA	FamilyOrComplex
PKC	FamilyOrComplex
PKI	FamilyOrComplex
PKN	FamilyOrComplex
PLA2	FamilyOrComplex
PLA2G2	FamilyOrComplex
PLA2G4	FamilyOrComplex
PLC	FamilyOrComplex
PLCB	FamilyOrComplex
PLCD	FamilyOrComplex
PLCG	FamilyOrComplex
PLD	FamilyOrComplex
Porins	FamilyOrComplex
Potassium_calcium_activated_channels	FamilyOrComplex
Potassium_voltage_gated_channels	FamilyOrComplex
PPAP2	FamilyOrComplex
PPAR	FamilyOrComplex
PPP1	FamilyOrComplex
PPP1C	FamilyOrComplex
PPP1R	FamilyOrComplex
PPP2	FamilyOrComplex
PPP2C	FamilyOrComplex
PPP2R_A	FamilyOrComplex
PPP2R_B	FamilyOrComplex
PPP3	FamilyOrComplex
PPP3C	FamilyOrComplex
PPP3R	FamilyOrComplex
PRC1_complex	FamilyOrComplex
PRC2_complex	FamilyOrComplex
PRDX	FamilyOrComplex
PRKAC	FamilyOrComplex
PRKAR	FamilyOrComplex
PRKG	FamilyOrComplex
Propionyl_CoA_carboxylase	FamilyOrComplex
Protease	FamilyOrComplex
Proteasome	FamilyOrComplex
PTGER	FamilyOrComplex
Purinergic_receptors	FamilyOrComplex
PYG	FamilyOrComplex
RAB	FamilyOrComplex
RAC	FamilyOrComplex
RAF	FamilyOrComplex
RAL	FamilyOrComplex
RAP1	FamilyOrComplex
RAPGEF	FamilyOrComplex
RAR	FamilyOrComplex
RAS	FamilyOrComplex
RASA	FamilyOrComplex
RASAL	FamilyOrComplex
RasGAP	FamilyOrComplex
RASGRF	FamilyOrComplex
RASGRP	FamilyOrComplex
RASSF	FamilyOrComplex
RFC	FamilyOrComplex
RFX	FamilyOrComplex
RGL	FamilyOrComplex
RHO	FamilyOrComplex
RhoGDI	FamilyOrComplex
RIPK	FamilyOrComplex
RLR	FamilyOrComplex
RNApo_I	FamilyOrComplex
RNApo_II	FamilyOrComplex
ROBO	FamilyOrComplex
ROCK	FamilyOrComplex
ROR	FamilyOrComplex
RPA	FamilyOrComplex
RSK	FamilyOrComplex
RSTK	FamilyOrComplex
RSTK1	FamilyOrComplex
RSTK2	FamilyOrComplex
RTK	FamilyOrComplex
RXR	FamilyOrComplex
RYR	FamilyOrComplex
S100	FamilyOrComplex
S100A	FamilyOrComplex
S1PR	FamilyOrComplex
SAA	FamilyOrComplex
SCD	FamilyOrComplex
SCN	FamilyOrComplex
SCNN	FamilyOrComplex
SERCA	FamilyOrComplex
SERPINB	FamilyOrComplex
SGC	FamilyOrComplex
SHC	FamilyOrComplex
SIK	FamilyOrComplex
SLC2A	FamilyOrComplex
SLRP	FamilyOrComplex
