EIF4G1,3296
EIF4G2,3297
EIF4G3,3298
ELANE,3309
ELAVL1,3312
ENO1,3350
ENO2,3353
ENO3,3354
ENO4,31670
EOGT,28526
EPAS1,3374
EPGN,17470
EPHA1,3385
EPHA10,19987
EPHA2,3386
EPHA3,3387
EPHA4,3388
EPHA5,3389
EPHA6,19296
EPHA7,3390
EPHA8,3391
EPHB1,3392
EPHB2,3393
EPHB3,3394
EPHB4,3395
EPHB6,3396
EPN1,21604
EPN2,18639
EPN3,18235
EPYC,3053
ERBB2,3430
ERBB3,3431
ERBB4,3432
ERCC4,3436
EREG,3443
ESR1,3467
ESR2,3468
ETS1,3488
ETS2,3489
EXOC1,30380
EXOC2,24968
EXOC3,30378
EXOC4,30389
EXOC5,10696
EXOC6,23196
EXOC7,23214
EXOC8,24659
EXT1,3512
EXT2,3513
EXTL1,3515
EXTL2,3516
EXTL3,3518
EZH1,3526
EZH2,3527
F2,3535
FANCA,3582
FANCB,3583
FANCC,3584
FANCD2,3585
FANCE,3586
FANCF,3587
FANCG,3588
FANCI,25568
FANCL,20748
FANCM,23168
FAS,11920
FCGR1A,3613
FCGR1B,3614
FCGR2A,3616
FCGR2B,3618
FCGR2C,15626
FCGR3A,3619
FCGR3B,3620
FES,3657
FGA,3661
FGB,3662
FGF1,3665
FGF10,3666
FGF11,3667
FGF12,3668
FGF13,3670
FGF14,3671
FGF16,3672
FGF17,3673
FGF18,3674
FGF19,3675
FGF2,3676
FGF20,3677
FGF21,3678
FGF22,3679
FGF23,3680
FGF3,3681
FGF4,3682
FGF5,3683
FGF6,3684
FGF7,3685
FGF8,3686
FGF9,3687
FGFR1,3688
FGFR2,3689
FGFR3,3690
FGFR4,3691
FGFRL1,3693
FGG,3694
FGR,3697
FLOT1,3757
FLOT2,3758
FLRT1,3760
FLRT2,3761
FLRT3,3762
FLT1,3763
FLT4,3767
FMOD,3774
FNTA,3782
FNTB,3785
FOS,3796
FOSB,3797
FOSL1,13718
FOSL2,3798
FOXO1,3819
FOXO3,3821
FOXO4,7139
FOXO6,24814
FSHB,3964
FUT1,4012
FUT10,19234
FUT11,19233
FUT2,4013
FUT3,4014
FUT4,4015
FUT5,4016
FUT6,4017
FUT7,4018
FUT8,4019
FUT9,4020
FYN,4037
FZD1,4038
FZD10,4039
FZD2,4040
FZD3,4041
FZD4,4042
FZD5,4043
FZD6,4044
FZD7,4045
FZD8,4046
FZD9,4047
